team_id,team_name,match_date,opponent,home_away,team_score,opponent_score,espn_event_id,espn_event_url,team_odds_american,opponent_odds_american,draw_odds_american
624,Algeria,2025-08-18,Niger,home,0,0,748093,https://www.espn.com/soccer/match/_/gameId/748093/niger-algeria,-400,+1000,+350
624,Algeria,2025-05-09,Gambia,home,3,0,734423,https://www.espn.com/soccer/match/_/gameId/734423/gambia-algeria,,,
624,Algeria,2026-03-27,Guatemala,home,7,0,401862318,https://www.espn.com/soccer/match/_/gameId/401862318/guatemala-algeria,-455,+1350,+475
624,Algeria,2025-03-21,Botswana,away,3,1,687297,https://www.espn.com/soccer/match/_/gameId/687297/algeria-botswana,,,
624,Algeria,2025-08-08,South Africa,home,1,1,748073,https://www.espn.com/soccer/match/_/gameId/748073/south-africa-algeria,,,
624,Algeria,2025-08-15,Guinea,away,1,1,748087,https://www.espn.com/soccer/match/_/gameId/748087/algeria-guinea,,,
202,Argentina,2025-09-09,Ecuador,away,0,1,684665,https://www.espn.com/soccer/match/_/gameId/684665/argentina-ecuador,+145,+200,+200
202,Argentina,2024-09-10,Colombia,away,1,2,684614,https://www.espn.com/soccer/match/_/gameId/684614/argentina-colombia,+475,-149,+250
202,Argentina,2024-10-16,Bolivia,home,6,0,684623,https://www.espn.com/soccer/match/_/gameId/684623/bolivia-argentina,-1667,+2000,+1400
202,Argentina,2025-10-15,Puerto Rico,away,6,0,758373,https://www.espn.com/soccer/match/_/gameId/758373/argentina-puerto-rico,-5000,+4000,+2200
202,Argentina,2024-11-20,Peru,home,1,0,684633,https://www.espn.com/soccer/match/_/gameId/684633/peru-argentina,-588,+1650,+600
202,Argentina,2026-03-31,Zambia,home,5,0,401866132,https://www.espn.com/soccer/match/_/gameId/401866132/zambia-argentina,-2000,+4000,+1550
202,Argentina,2025-03-26,Brazil,home,4,1,684643,https://www.espn.com/soccer/match/_/gameId/684643/brazil-argentina,+130,+260,+190
202,Argentina,2024-06-26,Chile,away,1,0,690713,https://www.espn.com/soccer/match/_/gameId/690713/argentina-chile,-122,+375,+220
202,Argentina,2025-06-11,Colombia,home,1,1,684653,https://www.espn.com/soccer/match/_/gameId/684653/colombia-argentina,,,
202,Argentina,2024-07-10,Canada,home,2,0,703950,https://www.espn.com/soccer/match/_/gameId/703950/canada-argentina,-303,+900,+400
202,Argentina,2024-09-06,Chile,home,3,0,684608,https://www.espn.com/soccer/match/_/gameId/684608/chile-argentina,,,
202,Argentina,2025-09-04,Venezuela,home,3,0,684658,https://www.espn.com/soccer/match/_/gameId/684658/venezuela-argentina,-769,+1900,+725
202,Argentina,2024-10-10,Venezuela,away,1,1,684622,https://www.espn.com/soccer/match/_/gameId/684622/argentina-venezuela,,,
202,Argentina,2024-11-14,Paraguay,away,1,2,684628,https://www.espn.com/soccer/match/_/gameId/684628/argentina-paraguay,-118,+425,+210
202,Argentina,2025-06-06,Chile,away,1,0,684648,https://www.espn.com/soccer/match/_/gameId/684648/argentina-chile,,,
202,Argentina,2024-06-21,Canada,home,2,0,690705,https://www.espn.com/soccer/match/_/gameId/690705/canada-argentina,,,
202,Argentina,2024-07-05,Ecuador,home,1,1,703946,https://www.espn.com/soccer/match/_/gameId/703946/ecuador-argentina,,,
202,Argentina,2024-06-09,Ecuador,home,1,0,701634,https://www.espn.com/soccer/match/_/gameId/701634/ecuador-argentina,,,
202,Argentina,2024-07-15,Colombia,home,1,0,703953,https://www.espn.com/soccer/match/_/gameId/703953/colombia-argentina,,,
202,Argentina,2024-06-30,Peru,home,2,0,690721,https://www.espn.com/soccer/match/_/gameId/690721/peru-argentina,,,
202,Argentina,2025-10-11,Venezuela,home,1,0,758378,https://www.espn.com/soccer/match/_/gameId/758378/venezuela-argentina,,,
202,Argentina,2025-11-14,Angola,away,2,0,760281,https://www.espn.com/soccer/match/_/gameId/760281/argentina-angola,-556,+1250,+650
202,Argentina,2026-03-27,Mauritania,home,2,1,401866131,https://www.espn.com/soccer/match/_/gameId/401866131/mauritania-argentina,-5000,+6600,+3000
202,Argentina,2025-03-21,Uruguay,away,1,0,684642,https://www.espn.com/soccer/match/_/gameId/684642/argentina-uruguay,+195,+160,+185
202,Argentina,2024-06-15,Guatemala,home,4,1,699278,https://www.espn.com/soccer/match/_/gameId/699278/guatemala-argentina,,,
628,Australia,2025-09-09,New Zealand,away,3,1,743813,https://www.espn.com/soccer/match/_/gameId/743813/australia-new-zealand,+130,+210,+220
628,Australia,2024-09-10,Indonesia,away,0,0,710450,https://www.espn.com/soccer/match/_/gameId/710450/australia-indonesia,+450,-172,+290
628,Australia,2024-10-15,Japan,away,1,1,710466,https://www.espn.com/soccer/match/_/gameId/710466/australia-japan,+175,+160,+200
628,Australia,2025-10-15,United States,away,1,2,753162,https://www.espn.com/soccer/match/_/gameId/753162/australia-united-states,+320,-143,+230
628,Australia,2024-11-19,Bahrain,away,2,2,710486,https://www.espn.com/soccer/match/_/gameId/710486/australia-bahrain,-133,+475,+210
628,Australia,2025-11-19,Colombia,away,0,3,760258,https://www.espn.com/soccer/match/_/gameId/760258/australia-colombia,+725,-250,+333
628,Australia,2026-03-31,Curaçao,home,5,1,401856595,https://www.espn.com/soccer/match/_/gameId/401856595/curacao-australia,-278,+650,+400
628,Australia,2024-03-26,Lebanon,away,5,0,687480,https://www.espn.com/soccer/match/_/gameId/687480/australia-lebanon,-455,+1000,+550
628,Australia,2025-03-25,China,away,2,0,710497,https://www.espn.com/soccer/match/_/gameId/710497/australia-china,-167,+450,+280
628,Australia,2024-06-11,Palestine,home,5,0,687482,https://www.espn.com/soccer/match/_/gameId/687482/palestine-australia,-455,+1200,+475
628,Australia,2025-06-10,Saudi Arabia,away,2,1,710521,https://www.espn.com/soccer/match/_/gameId/710521/australia-saudi-arabia,+310,+100,+220
628,Australia,2024-09-05,Bahrain,home,0,1,710437,https://www.espn.com/soccer/match/_/gameId/710437/bahrain-australia,,,
628,Australia,2024-10-10,China,home,3,1,710456,https://www.espn.com/soccer/match/_/gameId/710456/china-australia,,,
628,Australia,2024-11-14,Saudi Arabia,home,0,0,710471,https://www.espn.com/soccer/match/_/gameId/710471/saudi-arabia-australia,,,
628,Australia,2024-03-21,Lebanon,home,2,0,687479,https://www.espn.com/soccer/match/_/gameId/687479/lebanon-australia,,,
628,Australia,2025-03-20,Indonesia,home,5,1,710488,https://www.espn.com/soccer/match/_/gameId/710488/indonesia-australia,,,
628,Australia,2024-06-06,Bangladesh,away,2,0,687481,https://www.espn.com/soccer/match/_/gameId/687481/australia-bangladesh,-3333,+5000,+1600
628,Australia,2025-06-05,Japan,home,1,0,710513,https://www.espn.com/soccer/match/_/gameId/710513/japan-australia,,,
628,Australia,2024-01-28,Indonesia,home,4,0,698042,https://www.espn.com/soccer/match/_/gameId/698042/indonesia-australia,,,
628,Australia,2026-05-31,Mexico,away,0,1,401861775,https://www.espn.com/soccer/match/_/gameId/401861775/australia-mexico,+380,-141,+260
628,Australia,2025-09-05,New Zealand,home,1,0,743812,https://www.espn.com/soccer/match/_/gameId/743812/new-zealand-australia,,,
