Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
F1,18/01/14,Nice,Ajaccio,2,0,1,0,-200,275,650,115,-122,-1
F1,18/01/14,Rennes,Evian Thonon Gaillard,0,0,0,0,-125,250,350,118,-119,-0.5
F1,18/01/14,Sochaux,Montpellier,0,2,0,1,200,200,150,142,-152,0
F1,19/01/14,Paris SG,Nantes,5,0,2,0,-500,500,1400,-154,148,-1.5
F1,19/01/14,Reims,Lyon,0,2,0,1,230,210,130,119,-125,0
F1,19/01/14,Toulouse,Monaco,0,2,0,1,320,220,-105,128,-128,0.5
F1,24/01/14,Lille,Rennes,1,1,1,1,-175,260,550,133,-133,-1
F1,25/01/14,Ajaccio,Sochaux,1,1,1,0,125,200,250,144,-154,-0.25
F1,25/01/14,Guingamp,Paris SG,1,1,0,0,850,350,-278,-118,112,1
F1,25/01/14,Montpellier,Nice,3,1,1,0,-120,240,350,145,-143,-0.5
F1,25/01/14,Nantes,Reims,0,0,0,0,105,210,300,149,-159,-0.5
F1,25/01/14,Valenciennes,Lorient,1,1,0,1,150,200,200,134,-143,0
F1,26/01/14,Bordeaux,St Etienne,2,0,1,0,140,210,210,162,-172,0
F1,26/01/14,Lyon,Evian Thonon Gaillard,3,0,2,0,-227,300,700,-104,102,-1
F1,26/01/14,Monaco,Marseille,2,0,1,0,-137,250,400,112,-112,-0.75
F1,29/01/14,Marseille,Valenciennes,2,1,1,1,-189,275,600,102,-104,-1
F1,31/01/14,Paris SG,Bordeaux,2,0,0,0,-455,500,1200,-143,134,-1.5
F1,01/02/14,Bastia,Guingamp,3,2,0,0,120,220,240,144,-152,-0.5
F1,01/02/14,Evian Thonon Gaillard,Ajaccio,1,1,0,0,-137,250,400,125,-130,-0.5
F1,01/02/14,Lorient,Monaco,2,2,1,1,260,230,105,124,-128,0.5
F1,01/02/14,Reims,Montpellier,2,4,0,1,150,200,200,152,-154,0
F1,01/02/14,Sochaux,Nantes,1,0,1,0,200,220,140,156,-154,0
F1,01/02/14,St Etienne,Valenciennes,3,0,1,0,-227,300,750,110,-116,-1
F1,02/02/14,Marseille,Toulouse,2,2,2,1,-120,240,350,125,-132,-0.5
F1,02/02/14,Nice,Lille,1,0,1,0,220,220,125,145,-143,0.25
F1,02/02/14,Rennes,Lyon,2,0,1,0,190,210,150,119,-122,0
F1,07/02/14,Toulouse,St Etienne,0,0,0,0,145,200,210,145,-154,0
F1,08/02/14,Ajaccio,Rennes,3,1,2,1,240,210,125,138,-143,0.25
F1,08/02/14,Guingamp,Reims,1,2,0,0,110,200,300,162,-167,-0.5
F1,08/02/14,Lille,Sochaux,2,0,1,0,-278,333,900,-105,104,-1.5
F1,08/02/14,Marseille,Bastia,3,0,2,0,-175,260,550,100,104,-1
F1,08/02/14,Montpellier,Evian Thonon Gaillard,1,1,1,1,-149,250,475,125,-125,-0.75
F1,08/02/14,Valenciennes,Nice,2,1,1,0,125,200,250,156,-161,0
F1,09/02/14,Monaco,Paris SG,1,1,0,1,240,220,120,114,-118,0.25
F1,09/02/14,Nantes,Lyon,1,2,0,1,200,200,150,131,-128,0
F1,11/02/14,Toulouse,Bastia,1,3,1,2,-133,240,400,127,-125,-0.75
F1,14/02/14,Paris SG,Valenciennes,3,0,1,0,-588,600,1400,-175,164,-2
F1,15/02/14,Bastia,Monaco,0,2,0,1,400,250,-137,125,-130,0.5
F1,15/02/14,Lorient,Toulouse,1,3,1,0,100,220,300,125,-133,-0.5
F1,15/02/14,Nice,Nantes,0,0,0,0,120,210,250,159,-154,-0.5
F1,15/02/14,Reims,Bordeaux,1,0,0,0,163,210,175,144,-154,0
F1,15/02/14,Rennes,Montpellier,2,2,1,0,150,210,190,144,-154,0
F1,15/02/14,Sochaux,Guingamp,1,0,0,0,145,200,210,145,-143,0
F1,16/02/14,Evian Thonon Gaillard,Lille,2,2,1,1,280,210,110,150,-154,0.5
F1,16/02/14,Lyon,Ajaccio,3,1,1,0,-303,375,900,-109,110,-1.5
F1,16/02/14,St Etienne,Marseille,1,1,0,0,100,230,280,134,-137,-0.5
F1,21/02/14,Monaco,Reims,3,2,1,0,-333,400,900,102,-109,-1.5
F1,22/02/14,Bastia,St Etienne,0,2,0,1,250,210,120,142,-152,0.5
F1,22/02/14,Bordeaux,Evian Thonon Gaillard,2,1,0,0,-143,250,425,123,-125,-1
F1,22/02/14,Guingamp,Nice,1,0,0,0,100,220,300,155,-161,-0.5
F1,22/02/14,Marseille,Lorient,1,0,0,0,-133,240,400,100,-104,-0.5
F1,22/02/14,Montpellier,Ajaccio,2,0,0,0,-227,300,700,104,-102,-1
F1,22/02/14,Valenciennes,Sochaux,2,2,0,0,-110,240,300,138,-133,-0.5
F1,23/02/14,Lille,Lyon,0,0,0,0,105,220,280,131,-137,-0.5
F1,23/02/14,Nantes,Rennes,0,3,0,1,120,210,250,152,-159,-0.5
F1,23/02/14,Toulouse,Paris SG,2,4,1,1,650,320,-227,-118,110,1
F1,25/02/14,Bordeaux,Lorient,3,2,2,1,-110,225,333,138,-147,-0.5
F1,28/02/14,Evian Thonon Gaillard,Nantes,2,0,0,0,120,210,250,163,-161,-0.5
F1,01/03/14,Lorient,Bastia,1,1,1,0,-133,240,400,110,-111,-0.5
F1,01/03/14,Nice,Toulouse,0,2,0,0,140,210,210,148,-154,0
F1,01/03/14,Reims,Valenciennes,3,1,2,0,120,210,250,138,-143,-0.5
F1,01/03/14,Rennes,Guingamp,0,2,0,1,-105,220,320,150,-147,-0.5
F1,01/03/14,Sochaux,Bordeaux,2,0,0,0,225,200,138,156,-167,0
F1,01/03/14,St Etienne,Monaco,2,0,1,0,170,200,180,150,-143,0
F1,02/03/14,Ajaccio,Lille,2,3,2,2,400,250,-137,144,-152,0.5
F1,02/03/14,Lyon,Montpellier,0,0,0,0,-110,230,320,125,-125,-0.5
F1,02/03/14,Paris SG,Marseille,2,0,0,0,-303,400,800,-118,120,-1.5
F1,07/03/14,Marseille,Nice,0,1,0,0,-200,300,600,128,-133,-1
F1,08/03/14,Bastia,Paris SG,0,3,0,2,900,425,-345,-125,121,1.5
F1,08/03/14,Guingamp,Evian Thonon Gaillard,0,1,0,0,-118,230,350,150,-149,-0.5
F1,08/03/14,Monaco,Sochaux,2,1,1,0,-455,500,1200,-118,120,-1.5
F1,08/03/14,Nantes,Ajaccio,2,2,1,1,-175,275,500,129,-132,-1
F1,08/03/14,Toulouse,Reims,3,2,0,2,-118,225,360,135,-143,-0.5
F1,08/03/14,Valenciennes,Rennes,2,1,0,0,125,210,240,144,-154,-0.25
F1,09/03/14,Bordeaux,Lyon,1,2,1,0,138,210,210,150,-147,0
F1,09/03/14,Lille,Montpellier,2,0,1,0,100,220,300,145,-149,-0.5
F1,09/03/14,Lorient,St Etienne,1,0,0,0,175,220,160,144,-154,0
F1,14/03/14,Reims,Marseille,1,1,0,0,225,210,130,118,-120,0.25
F1,15/03/14,Ajaccio,Guingamp,1,2,1,1,200,188,163,155,-159,0
F1,15/03/14,Evian Thonon Gaillard,Valenciennes,0,1,0,0,115,210,260,134,-143,-0.5
F1,15/03/14,Lille,Nantes,0,0,0,0,-227,300,700,146,-143,-1
F1,15/03/14,Nice,Bastia,2,0,1,0,115,210,260,138,-133,-0.25
F1,15/03/14,Rennes,Toulouse,2,3,0,2,163,200,188,122,-130,0
F1,15/03/14,Sochaux,Lorient,2,0,1,0,163,210,175,125,-128,0
F1,16/03/14,Lyon,Monaco,2,3,1,2,160,200,190,145,-143,0
F1,16/03/14,Montpellier,Bordeaux,1,1,1,1,100,210,320,154,-161,-0.5
F1,16/03/14,Paris SG,St Etienne,2,0,2,0,-278,350,850,-120,120,-1.5
F1,21/03/14,Lorient,Paris SG,0,1,0,1,700,340,-250,-125,136,1
F1,22/03/14,Bastia,Reims,2,0,2,0,120,210,250,138,-137,-0.5
F1,22/03/14,Bordeaux,Nice,1,1,0,0,-125,240,375,138,-141,-0.75
F1,22/03/14,Marseille,Rennes,0,1,0,0,-143,260,400,108,-115,-0.75
F1,22/03/14,Nantes,Montpellier,2,1,2,1,180,200,170,164,-161,0
F1,22/03/14,Toulouse,Evian Thonon Gaillard,1,1,0,0,-137,250,400,115,-120,-0.75
F1,22/03/14,Valenciennes,Ajaccio,2,3,0,0,-175,260,550,110,-114,-1
F1,23/03/14,Guingamp,Lyon,0,1,0,0,170,200,175,145,-154,0
F1,23/03/14,Monaco,Lille,1,1,1,1,-118,240,333,124,-125,-0.5
F1,23/03/14,St Etienne,Sochaux,3,1,0,0,-200,300,600,101,-105,-1
F1,28/03/14,Nice,Paris SG,0,1,0,0,750,360,-278,-103,102,1.5
F1,29/03/14,Ajaccio,Toulouse,2,2,2,1,290,240,-105,126,-116,0.5
F1,29/03/14,Evian Thonon Gaillard,Monaco,1,0,0,0,320,220,-105,138,-133,0.5
F1,29/03/14,Montpellier,Valenciennes,0,0,0,0,-118,240,333,130,-132,-0.5
F1,29/03/14,Nantes,Bordeaux,0,0,0,0,150,210,190,163,-159,0
F1,29/03/14,Reims,Lorient,1,1,0,1,138,210,210,125,-125,0
F1,29/03/14,Sochaux,Marseille,1,1,1,0,240,220,120,129,-133,0.25
F1,30/03/14,Lille,Guingamp,1,0,0,0,-161,260,500,150,-143,-1
F1,30/03/14,Lyon,St Etienne,1,2,1,1,145,210,200,150,-143,-0.25
