Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
D1,17/02/13,Hoffenheim,Stuttgart,0,1,0,1,125,240,210,-125,-102,0
D1,17/02/13,Nurnberg,Hannover,2,2,0,1,100,240,275,-108,-116,-0.5
D1,22/02/13,Freiburg,Ein Frankfurt,0,0,0,0,105,240,250,-123,-101,-0.5
D1,23/02/13,Augsburg,Hoffenheim,2,1,1,0,110,220,260,113,-143,-0.25
D1,23/02/13,Bayern Munich,Werder Bremen,6,1,2,0,-588,600,1400,-270,188,-2
D1,23/02/13,Hannover,Hamburg,5,1,3,1,150,240,170,-141,111,0
D1,23/02/13,Mainz,Wolfsburg,1,1,1,1,100,240,275,101,-128,-0.25
D1,23/02/13,Schalke 04,Fortuna Dusseldorf,2,1,1,0,-227,333,600,-154,120,-1
D1,23/02/13,Stuttgart,Nurnberg,1,1,0,0,110,240,240,-111,-112,-0.25
D1,24/02/13,Greuther Furth,Leverkusen,0,0,0,0,375,260,-133,-127,100,1
D1,24/02/13,M'gladbach,Dortmund,1,1,0,1,400,300,-161,-143,111,1
D1,01/03/13,Ein Frankfurt,M'gladbach,0,1,0,1,100,240,275,-112,-111,-0.25
D1,02/03/13,Dortmund,Hannover,3,1,2,1,-333,425,850,-217,160,-1.5
D1,02/03/13,Hamburg,Greuther Furth,1,1,1,1,-161,275,450,-101,-123,-1
D1,02/03/13,Leverkusen,Stuttgart,2,1,0,1,-189,333,450,-172,129,-1
D1,02/03/13,Nurnberg,Freiburg,1,1,1,0,160,225,175,117,-152,0
D1,02/03/13,Werder Bremen,Augsburg,0,1,0,1,-120,275,300,-156,121,-0.75
D1,02/03/13,Wolfsburg,Schalke 04,1,4,0,1,160,230,163,-120,-104,0
D1,03/03/13,Fortuna Dusseldorf,Mainz,1,1,1,1,200,220,140,113,-145,0
D1,03/03/13,Hoffenheim,Bayern Munich,0,1,0,1,1100,450,-400,-156,122,1.5
D1,08/03/13,Augsburg,Nurnberg,1,2,1,1,110,230,250,136,-175,-0.25
D1,09/03/13,Bayern Munich,Fortuna Dusseldorf,3,2,1,1,-1000,800,2000,-263,188,-2.5
D1,09/03/13,Freiburg,Wolfsburg,2,5,1,3,-110,250,300,108,-137,-0.5
D1,09/03/13,Greuther Furth,Hoffenheim,0,3,0,2,150,230,175,115,-147,0
D1,09/03/13,Mainz,Leverkusen,1,0,0,0,210,230,130,-118,-105,0.25
D1,09/03/13,M'gladbach,Werder Bremen,1,1,0,0,120,240,220,-133,105,-0.25
D1,09/03/13,Schalke 04,Dortmund,2,1,2,0,250,260,100,-161,125,0.25
D1,10/03/13,Hannover,Ein Frankfurt,0,0,0,0,130,250,190,-156,121,-0.25
D1,10/03/13,Stuttgart,Hamburg,0,1,0,0,125,240,210,-125,-102,-0.25
D1,15/03/13,Wolfsburg,Fortuna Dusseldorf,1,1,0,1,-125,250,350,-105,-118,-0.75
D1,16/03/13,Dortmund,Freiburg,5,1,3,1,-278,375,750,-200,149,-1.5
D1,16/03/13,Hamburg,Augsburg,0,1,0,1,-110,250,300,101,-128,-0.75
D1,16/03/13,Hoffenheim,Mainz,0,0,0,0,150,230,180,101,-127,0
D1,16/03/13,Leverkusen,Bayern Munich,1,2,0,1,320,275,-125,-133,106,0.75
D1,16/03/13,Nurnberg,Schalke 04,3,0,1,0,210,240,125,-112,-110,0.25
D1,16/03/13,Werder Bremen,Greuther Furth,2,2,0,0,-200,333,500,-156,121,-1
D1,17/03/13,Ein Frankfurt,Stuttgart,1,2,1,0,100,250,260,-119,-105,-0.25
D1,17/03/13,M'gladbach,Hannover,1,0,1,0,100,240,275,-112,-111,-0.5
D1,30/03/13,Augsburg,Hannover,0,2,0,0,100,240,275,109,-139,-0.25
D1,30/03/13,Bayern Munich,Hamburg,9,2,5,0,-333,450,800,-213,157,-1.5
D1,30/03/13,Fortuna Dusseldorf,Leverkusen,1,4,1,1,333,260,-125,-122,-103,0.75
D1,30/03/13,Freiburg,M'gladbach,2,0,0,0,100,240,275,105,-133,-0.5
