Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,BbAHh
SP1,09/12/2018,Eibar,Levante,4,4,1,2,-133,280,350,-130,105,-0.75
SP1,09/12/2018,Huesca,Real Madrid,0,1,0,1,900,450,-333,-227,172,1.5
SP1,09/12/2018,Sociedad,Valladolid,1,2,0,1,-164,260,550,115,-145,-1
SP1,10/12/2018,Ath Bilbao,Girona,1,0,0,0,-105,240,300,114,-143,-0.25
SP1,14/12/2018,Celta,Leganes,0,0,0,0,-118,250,333,123,-154,-0.75
SP1,15/12/2018,Eibar,Valencia,1,1,0,1,170,220,170,110,-137,-0.25
SP1,15/12/2018,Getafe,Sociedad,1,0,1,0,125,210,250,156,-204,-0.25
SP1,15/12/2018,Real Madrid,Vallecano,1,0,1,0,-714,800,1400,-435,295,-2.5
SP1,15/12/2018,Valladolid,Ath Madrid,2,3,0,2,475,240,-139,148,-192,1
SP1,16/12/2018,Espanol,Betis,1,3,1,1,140,230,200,-104,-119,-0.25
SP1,16/12/2018,Huesca,Villarreal,2,2,1,0,250,220,114,-110,-114,0.25
SP1,16/12/2018,Levante,Barcelona,0,5,0,2,800,550,-400,-385,274,2
SP1,16/12/2018,Sevilla,Girona,2,0,0,0,-227,350,600,-161,129,-1.5
SP1,17/12/2018,Alaves,Ath Bilbao,0,0,0,0,200,220,150,129,-164,0.25
SP1,21/12/2018,Girona,Getafe,1,1,0,0,162,200,190,160,-204,-0.25
SP1,21/12/2018,Sociedad,Alaves,0,1,0,1,-133,250,400,122,-152,-1
SP1,22/12/2018,Ath Bilbao,Valladolid,1,1,1,0,-133,240,400,117,-147,-1
SP1,22/12/2018,Ath Madrid,Espanol,1,0,0,0,-250,300,900,125,-156,-1
SP1,22/12/2018,Barcelona,Celta,2,0,2,0,-833,800,2000,-588,374,-2.5
SP1,22/12/2018,Betis,Eibar,1,1,1,0,-125,275,350,-128,104,-1
SP1,23/12/2018,Leganes,Sevilla,1,1,1,0,240,220,125,110,-137,0.25
SP1,23/12/2018,Valencia,Huesca,2,1,1,0,-250,375,700,-137,109,-1.5
SP1,23/12/2018,Vallecano,Levante,2,1,1,0,110,260,240,-159,126,-0.25
SP1,03/01/2019,Villarreal,Real Madrid,2,2,1,2,280,280,-118,-185,144,0.75
SP1,04/01/2019,Espanol,Leganes,1,0,1,0,100,230,320,152,-192,-0.25
SP1,04/01/2019,Levante,Girona,2,2,0,1,115,250,230,-141,114,-0.25
SP1,05/01/2019,Alaves,Valencia,2,1,2,1,210,210,140,141,-179,0.25
SP1,05/01/2019,Huesca,Betis,2,1,0,0,220,250,120,-114,-109,0.25
SP1,05/01/2019,Valladolid,Vallecano,0,1,0,1,110,240,260,104,-130,-0.25
SP1,06/01/2019,Eibar,Villarreal,0,0,0,0,110,225,250,-115,-108,-0.25
SP1,06/01/2019,Getafe,Barcelona,1,2,1,2,700,425,-278,-185,143,1.5
SP1,06/01/2019,Real Madrid,Sociedad,0,2,0,1,-303,500,650,-233,175,-1.5
SP1,06/01/2019,Sevilla,Ath Madrid,1,1,1,1,180,210,170,126,-159,-0.25
SP1,07/01/2019,Celta,Ath Bilbao,1,2,1,1,140,230,200,-101,-123,-0.25
SP1,11/01/2019,Vallecano,Celta,4,2,2,2,150,240,180,114,-141,-0.25
SP1,12/01/2019,Girona,Alaves,1,1,1,0,110,210,300,151,-192,-0.25
SP1,12/01/2019,Leganes,Huesca,1,0,0,0,-105,225,333,144,-182,-0.25
SP1,12/01/2019,Valencia,Valladolid,1,1,0,0,-189,300,600,100,-122,-1
SP1,12/01/2019,Villarreal,Getafe,1,2,0,0,115,210,280,126,-156,-0.25
SP1,13/01/2019,Ath Bilbao,Sevilla,2,0,1,0,175,220,170,103,-127,0.25
SP1,13/01/2019,Ath Madrid,Levante,1,0,0,0,-400,500,1100,-156,126,-1.5
SP1,13/01/2019,Barcelona,Eibar,3,0,1,0,-833,800,2000,-417,261,-2.5
SP1,13/01/2019,Betis,Real Madrid,1,2,0,1,225,275,110,-161,128,0.25
SP1,14/01/2019,Sociedad,Espanol,3,2,2,2,100,230,300,126,-156,-0.25
SP1,18/01/2019,Getafe,Alaves,4,0,1,0,100,210,350,174,-227,-0.75
SP1,19/01/2019,Celta,Valencia,1,2,1,0,210,220,140,114,-141,0.25
SP1,19/01/2019,Huesca,Ath Madrid,0,3,0,1,475,260,-152,123,-152,1
SP1,19/01/2019,Real Madrid,Sevilla,2,0,0,0,-143,320,350,-189,148,-1
SP1,20/01/2019,Barcelona,Leganes,3,1,1,0,-833,800,2000,-278,207,-2.5
SP1,20/01/2019,Betis,Girona,3,2,1,2,-164,275,500,-106,-115,-1
SP1,20/01/2019,Levante,Valladolid,2,0,1,0,110,250,250,-128,104,-0.25
SP1,20/01/2019,Vallecano,Sociedad,2,2,2,1,187,230,150,-119,-103,0.25
SP1,20/01/2019,Villarreal,Ath Bilbao,1,1,0,1,120,230,240,107,-132,-0.25
SP1,21/01/2019,Eibar,Espanol,3,0,1,0,110,210,300,118,-147,-0.25
SP1,26/01/2019,Ath Madrid,Getafe,2,0,2,0,-189,260,700,145,-182,-1
SP1,26/01/2019,Leganes,Eibar,2,2,0,2,162,200,200,170,-222,-0.25
SP1,26/01/2019,Sevilla,Levante,5,0,0,0,-189,333,500,-213,145,-1
SP1,26/01/2019,Valencia,Villarreal,3,0,1,0,-120,260,350,-109,-112,-1
SP1,27/01/2019,Ath Bilbao,Betis,1,0,1,0,110,230,250,106,-132,-0.25
SP1,27/01/2019,Espanol,Real Madrid,2,4,1,3,320,300,-125,-143,116,1
SP1,27/01/2019,Girona,Barcelona,0,2,0,1,900,425,-303,-208,158,1.5
SP1,27/01/2019,Sociedad,Huesca,0,0,0,0,-164,275,500,-115,-106,-1
SP1,27/01/2019,Valladolid,Celta,2,1,0,1,140,220,210,128,-161,-0.25
SP1,28/01/2019,Alaves,Vallecano,0,1,0,0,115,230,250,113,-141,-0.25
SP1,01/02/2019,Huesca,Valladolid,4,0,1,0,125,225,240,152,-192,-0.5
SP1,02/02/2019,Barcelona,Valencia,2,2,1,2,-357,475,1000,-278,209,-1.5
SP1,02/02/2019,Celta,Sevilla,1,0,0,0,275,260,100,-130,105,0.25
SP1,02/02/2019,Levante,Getafe,0,0,0,0,137,225,210,-102,-120,-0.25
SP1,02/02/2019,Sociedad,Ath Bilbao,2,1,2,0,135,230,220,130,-161,-0.25
SP1,03/02/2019,Betis,Ath Madrid,1,0,0,0,300,220,105,134,-167,0.25
SP1,03/02/2019,Eibar,Girona,3,0,1,0,-152,300,400,-108,-115,-1
SP1,03/02/2019,Real Madrid,Alaves,3,0,1,0,-500,550,1400,-233,176,-2
SP1,03/02/2019,Villarreal,Espanol,2,2,1,0,-125,275,350,-112,-109,-1
SP1,04/02/2019,Vallecano,Leganes,1,2,0,1,137,225,210,134,-169,-0.25
SP1,08/02/2019,Valladolid,Villarreal,0,0,0,0,190,230,140,109,-133,0
SP1,09/02/2019,Ath Madrid,Real Madrid,1,3,1,2,137,225,210,106,-130,-0.25
SP1,09/02/2019,Espanol,Vallecano,2,1,0,1,-125,260,350,-111,-110,-1
SP1,09/02/2019,Getafe,Celta,3,1,1,1,-111,240,333,138,-172,-0.75
SP1,09/02/2019,Girona,Huesca,0,2,0,2,100,230,300,110,-137,-0.25
SP1,10/02/2019,Ath Bilbao,Barcelona,0,0,0,0,375,300,-143,-152,121,1
SP1,10/02/2019,Leganes,Betis,3,0,2,0,125,200,260,148,-263,-0.25
SP1,10/02/2019,Sevilla,Eibar,2,2,0,1,-152,300,400,-141,114,-1
