Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5,AHCh
E0,20/01/2018,Man City,Newcastle,3,1,1,0,-833,900,2500,-303,275,-2.5
E0,20/01/2018,Stoke,Huddersfield,2,0,0,0,104,239,309,130,-137,-0.25
E0,20/01/2018,West Ham,Bournemouth,1,1,0,0,100,260,300,-110,105,-0.25
E0,21/01/2018,Southampton,Tottenham,1,1,1,1,475,309,-156,-118,113,0.75
E0,22/01/2018,Swansea,Liverpool,1,0,1,0,1100,475,-333,-137,130,1.5
E0,30/01/2018,Huddersfield,Liverpool,0,3,0,2,1100,475,-333,-133,131,1.5
E0,30/01/2018,Swansea,Arsenal,3,1,1,1,600,359,-200,-120,115,1.25
E0,30/01/2018,West Ham,Crystal Palace,1,1,1,1,210,225,154,123,-130,0.25
E0,31/01/2018,Chelsea,Bournemouth,0,3,0,0,-357,550,1000,-179,163,-1.75
E0,31/01/2018,Everton,Leicester,2,1,2,0,200,220,162,138,-137,0.25
E0,31/01/2018,Man City,West Brom,3,0,1,0,-714,900,2000,-208,189,-2.25
E0,31/01/2018,Newcastle,Burnley,1,1,0,0,120,220,289,175,-182,-0.25
E0,31/01/2018,Southampton,Brighton,1,1,0,1,-133,250,500,145,-154,-0.75
E0,31/01/2018,Stoke,Watford,0,0,0,0,125,250,239,-111,105,-0.25
E0,31/01/2018,Tottenham,Man United,2,0,2,0,135,229,239,-102,-104,-0.25
E0,03/02/2018,Arsenal,Everton,5,1,4,0,-333,475,1100,-164,154,-1.75
E0,03/02/2018,Bournemouth,Stoke,2,1,0,1,-111,270,333,-110,106,-0.25
E0,03/02/2018,Brighton,West Ham,3,1,1,1,135,200,270,170,-182,-0.25
E0,03/02/2018,Burnley,Man City,1,1,0,1,1200,500,-357,-137,128,1.75
E0,03/02/2018,Leicester,Swansea,1,1,1,0,-125,260,425,116,-125,-0.75
E0,03/02/2018,Man United,Huddersfield,2,0,0,0,-625,750,1800,-159,150,-2
E0,03/02/2018,West Brom,Southampton,2,3,1,2,154,220,210,143,-149,-0.25
E0,04/02/2018,Crystal Palace,Newcastle,1,1,0,1,104,239,320,120,-130,-0.25
E0,04/02/2018,Liverpool,Tottenham,2,2,1,0,110,275,260,-156,145,-0.25
E0,05/02/2018,Watford,Chelsea,4,1,1,0,525,300,-164,-108,100,1
E0,10/02/2018,Everton,Crystal Palace,3,1,0,0,125,225,220,135,-141,-0.25
E0,10/02/2018,Man City,Leicester,5,1,1,1,-526,550,1200,-233,220,-2
E0,10/02/2018,Stoke,Brighton,1,1,0,1,120,220,239,145,-154,-0.25
E0,10/02/2018,Swansea,Burnley,1,0,0,0,137,200,225,195,-208,-0.25
E0,10/02/2018,Tottenham,Arsenal,1,0,0,0,100,260,250,-185,168,-0.25
E0,10/02/2018,West Ham,Watford,2,0,1,0,150,229,179,105,-110,-0.25
E0,11/02/2018,Huddersfield,Bournemouth,4,1,2,1,225,220,125,141,-147,0.25
E0,11/02/2018,Newcastle,Man United,1,0,0,0,450,275,-164,107,-115,0.75
