Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,B365>2.5,B365<2.5
E0,02/04/11,West Ham,Man United,2,4,2,0,350,260,-125,-116,107
E0,02/04/11,Wigan,Tottenham,0,0,0,0,200,225,140,110,-106
E0,03/04/11,Fulham,Blackpool,3,0,2,0,-189,320,500,-167,141
E0,03/04/11,Man City,Sunderland,5,0,2,0,-200,300,600,-103,-104
E0,09/04/11,Blackburn,Birmingham,1,1,1,1,100,230,300,120,-128
E0,09/04/11,Bolton,West Ham,3,0,2,0,120,225,240,-105,-101
E0,09/04/11,Chelsea,Wigan,1,0,0,0,-500,500,1600,-175,155
E0,09/04/11,Man United,Fulham,2,0,2,0,-227,333,650,-123,113
E0,09/04/11,Sunderland,West Brom,2,3,2,1,120,220,250,109,-118
E0,09/04/11,Tottenham,Stoke,3,2,3,2,-137,260,400,105,-114
E0,09/04/11,Wolves,Everton,0,3,0,3,160,225,180,110,-120
E0,10/04/11,Aston Villa,Newcastle,1,0,1,0,-120,260,333,-104,-103
E0,10/04/11,Blackpool,Arsenal,1,3,0,2,750,400,-278,-200,200
E0,11/04/11,Liverpool,Man City,3,0,3,0,160,220,180,125,-130
E0,16/04/11,Birmingham,Sunderland,2,0,1,0,125,220,240,125,-135
E0,16/04/11,Blackpool,Wigan,1,3,0,2,130,250,200,-149,138
E0,16/04/11,Everton,Blackburn,2,0,0,0,-149,275,450,-118,111
E0,16/04/11,West Brom,Chelsea,1,3,1,3,450,260,-143,-116,110
E0,16/04/11,West Ham,Aston Villa,1,2,1,1,125,230,225,-125,116
E0,17/04/11,Arsenal,Liverpool,1,1,0,0,-137,260,400,-110,101
E0,19/04/11,Newcastle,Man United,0,0,0,0,450,260,-149,-105,100
E0,20/04/11,Chelsea,Birmingham,3,1,2,0,-500,550,1400,-161,152
E0,20/04/11,Tottenham,Arsenal,3,3,2,3,188,240,140,-125,120
E0,23/04/11,Aston Villa,Stoke,1,1,1,1,-125,260,350,101,-106
E0,23/04/11,Blackpool,Newcastle,1,1,1,1,188,250,138,-143,138
E0,23/04/11,Chelsea,West Ham,3,0,1,0,-500,550,1400,-175,175
E0,23/04/11,Liverpool,Birmingham,5,0,2,0,-227,333,650,-114,105
E0,23/04/11,Man United,Everton,1,0,0,0,-227,333,650,-119,114
E0,23/04/11,Sunderland,Wigan,4,2,0,0,110,225,275,114,-123
