Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BbMx>2.5,BbMx<2.5,BbAHh
I1,20/01/2019,Cagliari,Empoli,2,2,1,0,100,250,280,-111,105,-0.5
I1,20/01/2019,Fiorentina,Sampdoria,3,3,1,1,-125,260,350,-105,100,-1
I1,20/01/2019,Frosinone,Atalanta,0,5,0,2,750,350,-250,-139,132,1.5
I1,20/01/2019,Napoli,Lazio,2,1,2,0,-111,260,300,-114,115,-1
I1,20/01/2019,Spal,Bologna,1,1,0,1,150,210,210,170,-182,-0.25
I1,21/01/2019,Genoa,Milan,0,2,0,0,220,220,137,122,-125,0
I1,21/01/2019,Juventus,Chievo,3,0,2,0,-909,900,2000,-182,170,-2.5
I1,26/01/2019,Milan,Napoli,0,0,0,0,275,250,100,100,-102,0.25
I1,26/01/2019,Sampdoria,Udinese,4,0,1,0,-120,250,375,113,-118,-1
I1,26/01/2019,Sassuolo,Cagliari,3,0,2,0,100,230,300,120,-123,-0.5
I1,27/01/2019,Atalanta,Roma,3,3,1,3,115,260,225,-164,150,-0.5
I1,27/01/2019,Bologna,Frosinone,0,4,0,2,-154,275,450,135,-145,-1
I1,27/01/2019,Chievo,Fiorentina,3,4,1,2,350,250,-120,125,-135,0.5
I1,27/01/2019,Lazio,Juventus,1,2,0,0,320,250,-111,110,-116,0.75
I1,27/01/2019,Parma,Spal,2,3,1,0,140,200,230,163,-167,0
I1,27/01/2019,Torino,Inter,1,0,1,0,260,230,110,105,-111,0.5
I1,28/01/2019,Empoli,Genoa,1,3,0,1,137,240,200,-115,109,0
I1,02/02/2019,Empoli,Chievo,2,2,1,2,-105,250,300,-105,-104,-0.25
I1,02/02/2019,Juventus,Parma,3,3,1,0,-556,600,1600,-164,151,-2
I1,02/02/2019,Napoli,Sampdoria,3,0,2,0,-278,400,750,-167,160,-1.5
I1,03/02/2019,Genoa,Sassuolo,1,1,1,1,150,230,187,110,-116,-0.25
I1,03/02/2019,Inter,Bologna,0,1,0,1,-303,425,800,-120,115,-1.5
I1,03/02/2019,Roma,Milan,1,1,0,1,115,250,240,-125,120,-0.25
I1,03/02/2019,Spal,Torino,0,0,0,0,270,225,115,163,-169,0.5
I1,03/02/2019,Udinese,Fiorentina,1,1,0,0,260,230,110,140,-147,0.5
I1,04/02/2019,Cagliari,Atalanta,0,1,0,0,400,310,-152,-128,121,1
I1,04/02/2019,Frosinone,Lazio,0,1,0,1,600,375,-227,-135,135,1.5
I1,07/02/2019,Lazio,Empoli,1,0,1,0,-333,425,850,-182,170,-1.5
I1,08/02/2019,Chievo,Roma,0,3,0,2,475,333,-189,-133,140,1
I1,09/02/2019,Fiorentina,Napoli,0,0,0,0,300,260,-111,-111,107,0.5
I1,09/02/2019,Parma,Inter,0,1,0,0,425,280,-152,-104,101,1
I1,10/02/2019,Atalanta,Spal,2,1,0,1,-357,450,1000,-143,135,-1.5
I1,10/02/2019,Bologna,Genoa,1,1,1,1,125,210,250,135,-143,-0.5
I1,10/02/2019,Milan,Cagliari,3,0,2,0,-250,375,750,-114,107,-1
I1,10/02/2019,Sampdoria,Frosinone,0,1,0,1,-200,300,700,110,-116,-1
I1,10/02/2019,Sassuolo,Juventus,0,3,0,1,600,275,-175,-122,117,1
I1,10/02/2019,Torino,Udinese,1,0,1,0,-139,260,425,128,-132,-1
I1,15/02/2019,Juventus,Frosinone,3,0,2,0,-833,850,1800,-189,190,-2
I1,16/02/2019,Atalanta,Milan,1,3,1,1,100,240,290,-115,110,-0.25
I1,16/02/2019,Cagliari,Parma,2,1,0,1,100,230,300,119,-128,-0.25
I1,17/02/2019,Empoli,Sassuolo,3,0,2,0,170,240,160,-111,105,0.25
I1,17/02/2019,Genoa,Lazio,2,1,0,1,220,240,125,-105,100,0.25
I1,17/02/2019,Inter,Sampdoria,2,1,0,0,-164,275,500,-115,106,-1
I1,17/02/2019,Napoli,Torino,0,0,0,0,-227,333,700,-123,117,-1.5
I1,17/02/2019,Spal,Fiorentina,1,4,1,1,260,220,115,140,-149,0.25
I1,17/02/2019,Udinese,Chievo,1,0,0,0,-120,240,375,130,-141,-1
I1,18/02/2019,Roma,Bologna,2,1,0,0,-227,333,700,-143,135,-1
I1,22/02/2019,Milan,Empoli,3,0,0,0,-227,333,600,-130,120,-1.5
I1,23/02/2019,Frosinone,Roma,2,3,1,2,550,350,-222,-175,160,1
I1,23/02/2019,Torino,Atalanta,2,0,1,0,220,230,130,106,-115,0.25
I1,24/02/2019,Bologna,Juventus,0,1,0,0,650,350,-227,-105,100,1
I1,24/02/2019,Chievo,Genoa,0,0,0,0,230,220,130,130,-135,0.25
I1,24/02/2019,Fiorentina,Inter,3,3,1,2,170,230,170,107,-118,0.25
I1,24/02/2019,Parma,Napoli,0,4,0,2,600,350,-227,-118,114,1.5
I1,24/02/2019,Sampdoria,Cagliari,1,0,0,0,-133,260,400,115,-118,-1
I1,24/02/2019,Sassuolo,Spal,1,1,1,0,-105,240,300,115,-123,-0.5
I1,01/03/2019,Cagliari,Inter,2,1,2,1,425,270,-143,115,-120,1
I1,02/03/2019,Empoli,Parma,3,3,1,2,100,250,275,-114,105,-0.25
I1,02/03/2019,Lazio,Roma,3,0,1,0,137,250,200,-145,131,-0.25
I1,02/03/2019,Milan,Sassuolo,1,0,1,0,-200,320,600,-118,112,-1
I1,03/03/2019,Atalanta,Fiorentina,3,1,2,1,-118,275,320,-133,128,-1
I1,03/03/2019,Genoa,Frosinone,0,0,0,0,-152,260,475,119,-123,-1
I1,03/03/2019,Napoli,Juventus,1,2,0,2,130,220,220,120,-130,0
I1,03/03/2019,Spal,Sampdoria,1,2,0,2,180,210,170,125,-132,0
I1,03/03/2019,Torino,Chievo,3,0,0,0,-227,333,700,110,-118,-1
I1,03/03/2019,Udinese,Bologna,2,1,1,1,180,200,180,160,-169,0
I1,08/03/2019,Juventus,Udinese,4,1,2,0,-278,375,850,107,-111,-1.5
I1,09/03/2019,Chievo,Milan,1,2,1,1,500,300,-182,-103,-105,1
I1,09/03/2019,Parma,Genoa,1,0,0,0,180,210,170,123,-132,0.25
I1,10/03/2019,Bologna,Cagliari,2,0,1,0,-105,210,375,135,-143,-0.5
I1,10/03/2019,Fiorentina,Lazio,1,1,0,1,180,230,155,-118,115,0.25
I1,10/03/2019,Frosinone,Torino,1,2,1,0,375,230,-118,143,-154,1
I1,10/03/2019,Inter,Spal,2,0,0,0,-250,350,750,-118,107,-1.5
I1,10/03/2019,Sampdoria,Atalanta,1,2,0,0,250,240,115,-118,112,0.25
I1,10/03/2019,Sassuolo,Napoli,1,1,0,0,500,300,-175,-127,120,1
I1,11/03/2019,Roma,Empoli,2,1,2,1,-189,350,475,-182,175,-1
I1,15/03/2019,Cagliari,Fiorentina,2,1,0,0,230,225,130,109,-118,0.5
I1,16/03/2019,Sassuolo,Sampdoria,3,5,1,3,140,220,210,107,-114,-0.25
I1,16/03/2019,Spal,Roma,2,1,1,0,333,260,-120,-111,105,1
I1,16/03/2019,Torino,Bologna,2,3,1,2,-105,220,350,150,-159,-0.5
I1,17/03/2019,Atalanta,Chievo,1,1,0,1,-455,500,1400,-164,150,-2
I1,17/03/2019,Empoli,Frosinone,2,1,2,0,-125,250,375,105,-108,-1
I1,17/03/2019,Genoa,Juventus,2,0,0,0,600,300,-189,116,-125,1
I1,17/03/2019,Lazio,Parma,4,1,4,0,-303,425,850,-143,133,-1.5
I1,17/03/2019,Milan,Inter,2,3,0,1,130,210,240,130,-139,-0.25
I1,17/03/2019,Napoli,Udinese,4,2,2,2,-455,550,1200,-167,152,-2
I1,29/03/2019,Chievo,Cagliari,0,3,0,3,170,200,187,142,-154,-0.25
I1,30/03/2019,Juventus,Empoli,1,0,0,0,-400,500,1100,-143,135,-1.5
I1,30/03/2019,Sampdoria,Milan,1,0,1,0,225,210,137,113,-118,0
I1,30/03/2019,Udinese,Genoa,2,0,1,0,150,210,210,163,-167,-0.25
I1,31/03/2019,Bologna,Sassuolo,2,1,0,0,105,240,275,112,-118,-0.5
I1,31/03/2019,Fiorentina,Torino,1,1,1,1,110,220,280,125,-133,0
I1,31/03/2019,Frosinone,Spal,0,1,0,1,190,210,160,145,-154,0
I1,31/03/2019,Inter,Lazio,0,1,0,1,125,230,230,105,-105,-0.25
I1,31/03/2019,Parma,Atalanta,1,3,1,1,475,300,-167,-141,130,1
I1,31/03/2019,Roma,Napoli,1,4,1,1,210,250,130,-118,115,0
I1,02/04/2019,Cagliari,Juventus,0,2,0,1,425,240,-133,125,-137,1
I1,02/04/2019,Milan,Udinese,1,1,1,0,-227,333,700,-102,-105,-1
I1,03/04/2019,Empoli,Napoli,2,1,1,1,600,375,-227,-154,141,1
I1,03/04/2019,Frosinone,Parma,3,2,2,1,140,220,210,130,-141,-0.25
I1,03/04/2019,Genoa,Inter,0,4,0,2,300,225,105,135,-149,0.5
I1,03/04/2019,Roma,Fiorentina,2,2,1,1,100,250,275,-130,120,-0.5
I1,03/04/2019,Spal,Lazio,1,0,0,0,400,275,-139,-102,-105,1
I1,03/04/2019,Torino,Sampdoria,2,1,2,0,115,230,250,118,-125,-0.25
I1,04/04/2019,Atalanta,Bologna,4,1,4,0,-200,320,600,-141,130,-1
I1,04/04/2019,Sassuolo,Chievo,4,0,2,0,-152,275,450,111,-119,-1
I1,06/04/2019,Juventus,Milan,2,1,0,1,-133,250,425,132,-139,-0.75
I1,06/04/2019,Parma,Torino,0,0,0,0,300,230,100,120,-130,0.25
I1,06/04/2019,Sampdoria,Roma,0,1,0,0,190,230,150,-132,125,0.25
I1,07/04/2019,Cagliari,Spal,2,1,1,1,115,220,260,143,-152,-0.25
I1,07/04/2019,Fiorentina,Frosinone,0,1,0,0,-200,300,650,-108,100,-1
I1,07/04/2019,Inter,Atalanta,0,0,0,0,100,240,290,-118,110,-0.25
I1,07/04/2019,Lazio,Sassuolo,2,2,0,0,-278,400,750,-159,150,-1.5
I1,07/04/2019,Napoli,Genoa,1,1,1,1,-400,450,1300,-143,135,-1.5
I1,07/04/2019,Udinese,Empoli,3,2,3,2,130,210,225,115,-123,-0.25
I1,08/04/2019,Bologna,Chievo,3,0,0,0,-200,300,600,118,-125,-1
I1,13/04/2019,Milan,Lazio,1,0,0,0,160,230,175,107,-111,0
I1,13/04/2019,Roma,Udinese,1,0,0,0,-227,350,600,-145,135,-1
I1,13/04/2019,Spal,Juventus,2,1,0,1,300,220,105,145,-154,0.5
